Power Setpoint (kW),Dwell Time (s),BeadNumber,mean_Current,mean_MovAvgCurrent,skew_Current,skew_MovAvgCurrent,std_Current,std_MovAvgCurrent,kurt_Current,kurt_MovAvgCurrent,mean_Voltage,mean_MovAvgVoltage,skew_Voltage,skew_MovAvgVoltage,std_Voltage,std_MovAvgVoltage,kurt_Voltage,kurt_MovAvgVoltage,mean_CTWD,mean_MovAvgCTWD,skew_CTWD,skew_MovAvgCTWD,std_CTWD,std_MovAvgCTWD,kurt_CTWD,kurt_MovAvgCTWD
1.5,0,1,173.63179723502304,173.74880952380954,-0.0062222756022399925,-0.5127086996934302,18.95983945166125,5.1627235604172705,-0.5239537124419291,0.5955768072582401,14.954337899543379,14.947853881278538,0.24268121152710187,0.07035630882715149,0.541927324232407,0.19480926126894216,-0.2455987982498229,0.03343119275821094,0.991792407604398,0.999495984995404,-0.4700959335284852,-1.0204664750054948,0.5171640981082604,0.3266033146639671,-0.05535696959575631,1.2042615258312614
1.5,0,2,170.57,170.21179545454547,-0.03387649920437197,-1.9681295505908374,22.295989565052537,7.505705384181717,-0.3311806266373365,6.723291387085045,16.23542600896861,16.209985052316892,1.4731722393837254,1.6712334000354458,1.2521875174909425,0.6895873262004173,2.5991396604776273,3.666621148563129,0.5836163115056767,0.5807293206192331,-0.04447639121624183,-0.5967933661274033,0.49703983340577673,0.27102663982396213,-0.3150899885681486,-0.038121623996962395
1.5,0,3,175.3082191780822,175.44831811263316,0.005543881590311508,-0.1567543608340648,15.339318849852127,5.627331484175673,-0.4898403783950478,0.17342000077436381,15.947533632286996,15.906532137518685,1.9133002189458541,2.3058682493906804,0.8910873595907041,0.5056092092823037,6.582780134997426,7.447397447407255,0.9328961174739889,0.90714952211718,-0.16259014794795096,-1.3056419655694462,0.5120802709444235,0.25357851724666414,0.9507354631696381,3.0155022750935783
1.5,0,4,172.97649769585254,173.03029185867896,-0.03661953964403938,-0.9292777760699823,14.712291745945596,4.5020850241449075,-0.14224191777417206,2.0196593193443313,15.74090909090909,15.71969696969697,1.8862708053074986,1.45729601312087,0.8844465756180261,0.5344314789317403,5.427877688409069,3.2858751373621735,0.827125945060893,0.8109873196482629,0.4374956079626691,-0.38022632629083797,0.6701474742384056,0.3810489233246799,-0.04717446613009013,-0.5819633490783369
1.5,0,5,173.79631336405532,173.70084485407068,-0.06697678770790047,-0.03610018440169053,14.183026020089425,5.0357464733874355,-0.029930088099499486,0.0497518038362359,15.526576576576577,15.499144144144143,1.4147483041679871,1.5182307532169195,0.734579629220721,0.45839942564001385,2.6745875634812206,1.7918018654672423,1.1964726589125154,1.198554006615691,0.5959369392810961,0.26444998627504246,0.6682692524880717,0.3778279896613544,0.9958208833581925,-0.2340009446186535
1.5,0,6,171.66451612903225,171.54758832565284,0.1734395802810458,-1.9085841543030746,15.644925336012783,4.752975323892787,0.6204855750250537,12.65788299100813,15.945291479820629,15.890261584454409,2.9084056057338747,2.4810134026105524,1.155660873395153,0.6877768757852696,12.014770546676575,9.334717941005598,1.1399912731085033,1.1483771180038695,0.13785504615609195,0.4025191504433496,0.6309560215552855,0.32601932242066617,-0.566375460148016,0.6995512658764489
1.5,0,7,170.90509259259258,170.83881172839506,0.05570809328142904,-0.189652931634724,13.703889177749431,4.594171878381315,-0.21186996700088168,0.3017830992266126,15.704954954954955,15.681133633633634,1.8953102721279584,1.4228033104408953,0.8727253551221468,0.5500450446931239,4.56433670646443,2.009279922446013,1.6255979452897897,1.5912116630700257,0.539829788310005,1.0911710698230093,0.5590603682983676,0.2842465264674987,0.9993216276426793,1.480426321434627
1.5,0,8,170.81851851851854,170.8103163580247,-0.023443444774481313,0.6030884806523605,13.149103060033273,3.9695147960411448,0.18179934623500982,3.3915809908586056,15.957657657657657,15.936696696696696,1.9783758949700105,1.27443119979932,0.8568646993782875,0.4576347744945138,6.941748418002904,3.822111727632925,1.4768068765269264,1.5009626007002939,0.1932653794939998,0.23091404698717327,0.8116273131970223,0.3149187055526225,0.14922683620558885,0.1509530530449985
1.5,0,9,169.70136363636365,169.58929545454544,-0.15615578131402585,-0.31466551022183664,12.776903675711017,5.140190647191697,0.16566903928978238,2.322914975383338,15.68609865470852,15.65219730941704,1.7720298231695952,0.9133835783411143,0.7258635919974016,0.3797736601789296,4.819711369828729,1.4451233910521601,2.1142797279706795,2.1399252530829025,-0.2592521046587466,0.08029164643507615,0.764881988484897,0.4902421652389645,1.7988886160865705,4.278978795405688
1.5,0,10,165.87,165.68788636363635,-0.38920563961820226,-1.0057802566978375,15.91971323254263,5.324269599470874,-0.17448264611052,1.5631459924370419,16.216143497757848,16.176397608370703,2.4796254198204988,1.9912230675353073,1.0881049801301814,0.6240555044440277,8.711553190663656,4.5338518552607745,2.344801884721031,2.35436462143347,0.265144640338209,0.0025779939945370332,0.7359288844064983,0.31837532834751703,-0.3164400976638566,1.2335901805657024
